Date,APR_BUFR_NAV,APR_ECR_Score_w111_t1_5_NAV,APR_ParProx_w1p5_lin_score1p5_NAV,APR_ParProx_w1p5_sqrt_score1p5_NAV,APR_ParProx_w2_lin_score1p5_NAV,APR_ParProx_w2_sqrt_score1p5_NAV,APR_SPY_NAV,AUG_BUFR_NAV,AUG_ECR_Score_w111_t1_5_NAV,AUG_ParProx_w1p5_lin_score1p5_NAV,AUG_ParProx_w1p5_sqrt_score1p5_NAV,AUG_ParProx_w2_lin_score1p5_NAV,AUG_ParProx_w2_sqrt_score1p5_NAV,AUG_SPY_NAV,DEC_BUFR_NAV,DEC_ECR_Score_w111_t1_5_NAV,DEC_ParProx_w1p5_lin_score1p5_NAV,DEC_ParProx_w1p5_sqrt_score1p5_NAV,DEC_ParProx_w2_lin_score1p5_NAV,DEC_ParProx_w2_sqrt_score1p5_NAV,DEC_SPY_NAV,FEB_BUFR_NAV,FEB_ECR_Score_w111_t1_5_NAV,FEB_ParProx_w1p5_lin_score1p5_NAV,FEB_ParProx_w1p5_sqrt_score1p5_NAV,FEB_ParProx_w2_lin_score1p5_NAV,FEB_ParProx_w2_sqrt_score1p5_NAV,FEB_SPY_NAV,JAN_BUFR_NAV,JAN_ECR_Score_w111_t1_5_NAV,JAN_ParProx_w1p5_lin_score1p5_NAV,JAN_ParProx_w1p5_sqrt_score1p5_NAV,JAN_ParProx_w2_lin_score1p5_NAV,JAN_ParProx_w2_sqrt_score1p5_NAV,JAN_SPY_NAV,JUL_BUFR_NAV,JUL_ECR_Score_w111_t1_5_NAV,JUL_ParProx_w1p5_lin_score1p5_NAV,JUL_ParProx_w1p5_sqrt_score1p5_NAV,JUL_ParProx_w2_lin_score1p5_NAV,JUL_ParProx_w2_sqrt_score1p5_NAV,JUL_SPY_NAV,JUN_BUFR_NAV,JUN_ECR_Score_w111_t1_5_NAV,JUN_ParProx_w1p5_lin_score1p5_NAV,JUN_ParProx_w1p5_sqrt_score1p5_NAV,JUN_ParProx_w2_lin_score1p5_NAV,JUN_ParProx_w2_sqrt_score1p5_NAV,JUN_SPY_NAV,MAR_BUFR_NAV,MAR_ECR_Score_w111_t1_5_NAV,MAR_ParProx_w1p5_lin_score1p5_NAV,MAR_ParProx_w1p5_sqrt_score1p5_NAV,MAR_ParProx_w2_lin_score1p5_NAV,MAR_ParProx_w2_sqrt_score1p5_NAV,MAR_SPY_NAV,MAY_BUFR_NAV,MAY_ECR_Score_w111_t1_5_NAV,MAY_ParProx_w1p5_lin_score1p5_NAV,MAY_ParProx_w1p5_sqrt_score1p5_NAV,MAY_ParProx_w2_lin_score1p5_NAV,MAY_ParProx_w2_sqrt_score1p5_NAV,MAY_SPY_NAV,NOV_BUFR_NAV,NOV_ECR_Score_w111_t1_5_NAV,NOV_ParProx_w1p5_lin_score1p5_NAV,NOV_ParProx_w1p5_sqrt_score1p5_NAV,NOV_ParProx_w2_lin_score1p5_NAV,NOV_ParProx_w2_sqrt_score1p5_NAV,NOV_SPY_NAV,OCT_BUFR_NAV,OCT_ECR_Score_w111_t1_5_NAV,OCT_ParProx_w1p5_lin_score1p5_NAV,OCT_ParProx_w1p5_sqrt_score1p5_NAV,OCT_ParProx_w2_lin_score1p5_NAV,OCT_ParProx_w2_sqrt_score1p5_NAV,OCT_SPY_NAV,SEP_BUFR_NAV,SEP_ECR_Score_w111_t1_5_NAV,SEP_ParProx_w1p5_lin_score1p5_NAV,SEP_ParProx_w1p5_sqrt_score1p5_NAV,SEP_ParProx_w2_lin_score1p5_NAV,SEP_ParProx_w2_sqrt_score1p5_NAV,SEP_SPY_NAV,APR_BUFR_Return,APR_ECR_Score_w111_t1_5_Return,APR_ParProx_w1p5_lin_score1p5_Return,APR_ParProx_w1p5_sqrt_score1p5_Return,APR_ParProx_w2_lin_score1p5_Return,APR_ParProx_w2_sqrt_score1p5_Return,APR_SPY_Return,AUG_BUFR_Return,AUG_ECR_Score_w111_t1_5_Return,AUG_ParProx_w1p5_lin_score1p5_Return,AUG_ParProx_w1p5_sqrt_score1p5_Return,AUG_ParProx_w2_lin_score1p5_Return,AUG_ParProx_w2_sqrt_score1p5_Return,AUG_SPY_Return,DEC_BUFR_Return,DEC_ECR_Score_w111_t1_5_Return,DEC_ParProx_w1p5_lin_score1p5_Return,DEC_ParProx_w1p5_sqrt_score1p5_Return,DEC_ParProx_w2_lin_score1p5_Return,DEC_ParProx_w2_sqrt_score1p5_Return,DEC_SPY_Return,FEB_BUFR_Return,FEB_ECR_Score_w111_t1_5_Return,FEB_ParProx_w1p5_lin_score1p5_Return,FEB_ParProx_w1p5_sqrt_score1p5_Return,FEB_ParProx_w2_lin_score1p5_Return,FEB_ParProx_w2_sqrt_score1p5_Return,FEB_SPY_Return,JAN_BUFR_Return,JAN_ECR_Score_w111_t1_5_Return,JAN_ParProx_w1p5_lin_score1p5_Return,JAN_ParProx_w1p5_sqrt_score1p5_Return,JAN_ParProx_w2_lin_score1p5_Return,JAN_ParProx_w2_sqrt_score1p5_Return,JAN_SPY_Return,JUL_BUFR_Return,JUL_ECR_Score_w111_t1_5_Return,JUL_ParProx_w1p5_lin_score1p5_Return,JUL_ParProx_w1p5_sqrt_score1p5_Return,JUL_ParProx_w2_lin_score1p5_Return,JUL_ParProx_w2_sqrt_score1p5_Return,JUL_SPY_Return,JUN_BUFR_Return,JUN_ECR_Score_w111_t1_5_Return,JUN_ParProx_w1p5_lin_score1p5_Return,JUN_ParProx_w1p5_sqrt_score1p5_Return,JUN_ParProx_w2_lin_score1p5_Return,JUN_ParProx_w2_sqrt_score1p5_Return,JUN_SPY_Return,MAR_BUFR_Return,MAR_ECR_Score_w111_t1_5_Return,MAR_ParProx_w1p5_lin_score1p5_Return,MAR_ParProx_w1p5_sqrt_score1p5_Return,MAR_ParProx_w2_lin_score1p5_Return,MAR_ParProx_w2_sqrt_score1p5_Return,MAR_SPY_Return,MAY_BUFR_Return,MAY_ECR_Score_w111_t1_5_Return,MAY_ParProx_w1p5_lin_score1p5_Return,MAY_ParProx_w1p5_sqrt_score1p5_Return,MAY_ParProx_w2_lin_score1p5_Return,MAY_ParProx_w2_sqrt_score1p5_Return,MAY_SPY_Return,NOV_BUFR_Return,NOV_ECR_Score_w111_t1_5_Return,NOV_ParProx_w1p5_lin_score1p5_Return,NOV_ParProx_w1p5_sqrt_score1p5_Return,NOV_ParProx_w2_lin_score1p5_Return,NOV_ParProx_w2_sqrt_score1p5_Return,NOV_SPY_Return,OCT_BUFR_Return,OCT_ECR_Score_w111_t1_5_Return,OCT_ParProx_w1p5_lin_score1p5_Return,OCT_ParProx_w1p5_sqrt_score1p5_Return,OCT_ParProx_w2_lin_score1p5_Return,OCT_ParProx_w2_sqrt_score1p5_Return,OCT_SPY_Return,SEP_BUFR_Return,SEP_ECR_Score_w111_t1_5_Return,SEP_ParProx_w1p5_lin_score1p5_Return,SEP_ParProx_w1p5_sqrt_score1p5_Return,SEP_ParProx_w2_lin_score1p5_Return,SEP_ParProx_w2_sqrt_score1p5_Return,SEP_SPY_Return
2021-02-19,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,,,,,,,,,,,,,,,,,,,,,,99.5936784241869,99.5155187703222,99.5155187703222,99.5155187703222,99.5155187703222,99.5155187703222,99.23082839781556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004063215758130956,-0.004844812296778023,-0.004844812296778023,-0.004844812296778023,-0.004844812296778023,-0.004844812296778023,-0.007691716021844375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,,,,,,,,,,,,,,,,,,,,,,99.35868071461293,99.58616612474135,99.58616612474135,99.58616612474135,99.58616612474135,99.58616612474135,99.35133194882447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0023595645154612654,0.0007099129391285874,0.0007099129391285874,0.0007099129391285874,0.0007099129391285874,0.0007099129391285874,0.0012143761465521763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,,,,,,,,,,,,,,,,,,,,,,100.32065964269354,100.3547147502217,100.3547147502217,100.3547147502217,100.3547147502217,100.3547147502217,100.44611952926698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009681881051175623,0.007717423567824344,0.007717423567824344,0.007717423567824344,0.007717423567824344,0.007717423567824344,0.011019354838709416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,,,,,,,,,,,,,,,,,,,,,,99.12963811268897,98.78214602423884,98.78214602423884,98.78214602423884,98.78214602423884,98.78214602423884,98.0257928877266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01187214611872145,-0.015670103092783605,-0.015670103092783605,-0.015670103092783605,-0.015670103092783605,-0.015670103092783605,-0.02409577047757605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,,,,,,,,,,,,,,,,,,,,,,98.9464040311498,98.49246231155779,98.49246231155779,98.49246231155779,98.49246231155779,98.49246231155779,97.52070353562547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001848428835489857,-0.0029325513196480912,-0.0029325513196480912,-0.0029325513196480912,-0.0029325513196480912,-0.0029325513196480912,-0.00515261684931867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,,,,,,,,,,,,,,,,,,,,,,99.8841044434265,99.87230268992018,99.87230268992018,99.87230268992018,99.87230268992018,99.87230268992018,99.88462425967234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009476851851851986,0.014009603841536489,0.014009603841536489,0.014009603841536489,0.014009603841536489,0.014009603841536489,0.024240193500893792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,,,,,,,,,,,,,,,,,,,,,,99.86257443884564,99.48477682530299,99.48477682530299,99.48477682530299,99.48477682530299,99.48477682530299,99.10519703612543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00021554985851679476,-0.0038802135745319433,-0.0038802135745319433,-0.0038802135745319433,-0.0038802135745319433,-0.0038802135745319433,-0.007803275322141756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,,,,,,,,,,,,,,,,,,,,,,99.31287219422813,98.69937924918712,98.69937924918712,98.69937924918712,98.69937924918712,98.69937924918712,97.79247750173064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005504587155963359,-0.007894650831805516,-0.007894650831805516,-0.007894650831805516,-0.007894650831805516,-0.007894650831805516,-0.013245718425001218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,,,,,,,,,,,,,,,,,,,,,,98.67155290884105,97.87171149866982,97.87171149866982,97.87171149866982,97.87171149866982,97.87171149866982,96.58231418096044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0064575645756457245,-0.008385744234800874,-0.008385744234800874,-0.008385744234800874,-0.008385744234800874,-0.008385744234800874,-0.012374809920822294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,,,,,,,,,,,,,,,,,,,,,,99.63353183692168,99.1723322494827,99.1723322494827,99.1723322494827,99.1723322494827,99.1723322494827,98.35910058200652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009749303621169991,0.013289036544850363,0.013289036544850363,0.013289036544850363,0.013289036544850363,0.013289036544850363,0.01839660207061322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,,,,,,,,,,,,,,,,,,,,,,99.17544663307375,98.34466449896541,98.34466449896541,98.34466449896541,98.34466449896541,98.34466449896541,97.86939466194909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0045977011494253706,-0.008345752608047596,-0.008345752608047596,-0.008345752608047596,-0.008345752608047596,-0.008345752608047596,-0.004978755571774851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
